유형 중분류명,유형 소분류명,중분류 검색건 수,중분류 검색건 수(비율),소분류 검색건 수,소분류 검색건 수(비율)
기타관광,교통시설,92898,16.1,38615,41.6
기타관광,기타관광,92898,16.1,54283,58.4
레저스포츠,기타레저스포츠,110100,19.0,2602,2.4
레저스포츠,육상레저스포츠,110100,19.0,107371,97.5
레저스포츠,수상레저스포츠,110100,19.0,127,0.1
문화관광,도시/지역문화관광,43377,7.5,24,0.1
문화관광,도시공원,43377,7.5,13865,32.0
문화관광,랜드마크관광,43377,7.5,1611,3.7
문화관광,테마공원,43377,7.5,4209,9.7
문화관광,복합관광시설,43377,7.5,71,0.2
문화관광,기타문화관광지,43377,7.5,1809,4.2
문화관광,레저스포츠시설,43377,7.5,3098,7.1
문화관광,공연시설,43377,7.5,6365,14.7
문화관광,전시시설,43377,7.5,12325,28.4
쇼핑,시장,32444,5.6,32444,100.0
숙박,기타숙박,51571,8.9,149,0.3
숙박,모텔,51571,8.9,19039,36.9
숙박,펜션/민박,51571,8.9,4506,8.7
숙박,호텔,51571,8.9,3991,7.7
숙박,캠핑,51571,8.9,23886,46.3
역사관광,역사유물,77451,13.4,115,0.1
역사관광,역사유적지,77451,13.4,19141,24.7
역사관광,종교성지,77451,13.4,58195,75.1
음식,간이음식,150761,26.1,16890,11.2
음식,외국식,150761,26.1,4686,3.1
음식,전문음식,150761,26.1,11570,7.7
음식,한식,150761,26.1,85394,56.6
음식,음식점기타,150761,26.1,209,0.1
음식,카페/찻집,150761,26.1,32012,21.2
자연관광,자연경관(산),15598,2.7,2023,13.0
자연관광,자연경관(하천/해양),15598,2.7,3199,20.5
자연관광,자연공원,15598,2.7,10376,66.5
체험관광,농/산/어촌체험,4065,0.7,2242,55.2
체험관광,웰니스관광,4065,0.7,1793,44.1
체험관광,공예체험,4065,0.7,30,0.7
